CIN,LLPIN,Entity Status,Date of Incorporation,Paid-up Capital,PAN,GSTIN,GSTR Variance %,ITC Availed,Audited Net Income,Inventory,Accounts Receivable,EBITDA,Long-Term Debt,Cheque Bounces,NACH Returns,OD Utilization,NACH Obligation %,CMR Rank,Asset Classification,Wilful Defaulter,Capacity Utilization,Machinery Status,Promoter Experience,Contingent Liabilities,Auditor Qualifications,Shareholding Pledge,Risk Premium,Target_Decision
U89661GJ2022PTC844034,AAA-5606,Active,2002-02-23,58395234,PJVDQ4432L,27DICDC6881W1Z5,2.26,10511142.12,3413653,2240367,55817735,1803786,10499134,4,3,109%,74%,9,SMA-2,True,66%,Modern,23,5583221,Adverse,40%,2.39%,0
U73616TN2003PTC378879,AAA-5374,Active,2006-10-21,11099921,ZPDCK6236O,27YIMDZ9159G1Z5,2.21,1997985.78,22249728,1839716,68134805,10669244,32061070,0,1,14%,46%,3,Standard,False,93%,Dilapidated,31,603882,Clean,31%,5.07%,1
L00421TN2020PTC072494,AAA-2943,Active,2010-12-24,15261971,DKHQG7666N,27USAKY8302T1Z5,7.47,2747154.78,9294784,4005338,5955182,13871658,82363896,0,0,26%,65%,1,Standard,False,85%,Dilapidated,34,738476,Clean,45%,1.8%,1
U42556TN2008PTC278503,AAA-9749,Active,2003-10-01,47228890,KRMAZ5283P,27EHFIG0455B1Z5,0.93,8501200.2,47991681,339532,111935961,11082875,40147938,1,1,49%,64%,3,Standard,False,40%,Legacy,29,6036657,Clean,45%,4.61%,1
L52988MH1992PTC781407,AAA-5285,Active,2000-01-16,18227043,IPVBN4763C,27DGABV2793O1Z5,10.67,3280867.74,737848,1618531,156144368,1357137,34696997,3,2,83%,64%,6,SMA-2,False,62%,Dilapidated,18,3288786,Clean,48%,1.0%,2
U87448MH2001PTC366607,AAA-4721,Active,2009-12-17,21666455,UERNM3345G,27WKZJW9884I1Z5,2.67,3899961.9,44304876,2462624,108060498,4698689,81124365,0,0,14%,49%,3,Standard,False,73%,Modern,33,3292809,Clean,31%,3.75%,1
L15390DL1995PTC160521,AAA-1508,Active,2003-02-09,10044914,GUXDM6531K,27QNAVV2275R1Z5,10.32,1808084.52,36726024,1016644,97915590,6734336,69545610,5,4,110%,61%,10,NPA,True,72%,Legacy,18,1857269,Qualified,26%,3.54%,0
L26260DL1998PTC062212,AAA-6349,Active,2020-09-12,11972642,HIDRX5881X,27EMJLK9307O1Z5,8.92,2155075.56,1133547,3942862,35369690,1145336,30886049,5,4,105%,44%,8,SMA-2,True,45%,Modern,26,1052508,Qualified,45%,1.5%,0
U44524GJ2008PTC345911,AAA-4763,Active,2004-06-08,40479718,ALFNW7040A,27HPKBX9807I1Z5,3.46,7286349.24,3756318,987421,29637097,442630,24038040,5,4,85%,24%,7,SMA-2,False,74%,Dilapidated,7,2180897,Qualified,25%,2.68%,0
L67431KA2023PTC745158,AAA-4616,Active,2023-12-14,40244620,MCFGG9484R,27KLPEY2746O1Z5,9.03,7244031.6,15475900,4811096,92966652,18958617,98021030,0,1,54%,31%,2,Standard,False,70%,Modern,5,1337733,Clean,46%,1.74%,1
L13253DL2010PTC166562,AAA-3479,Active,1997-04-14,1965920,GOHTF3742V,27DOXAQ0438M1Z5,9.03,353865.6,788624,733019,4647977,1823148,24098874,2,2,63%,41%,4,SMA-2,False,43%,Legacy,20,351002,Clean,10%,2.03%,2
U51230DL2015PTC114941,AAA-3498,Active,2010-06-30,82333148,QGGUJ5207V,27TZNFQ8923E1Z5,6.34,14819966.64,38858959,3080152,20575513,7709439,7222095,0,1,31%,68%,2,Standard,False,94%,Modern,40,12922819,Clean,31%,2.28%,1
L80370TN1997PTC225301,AAA-6144,Active,2017-10-10,32156281,GNSKJ0265I,27HUTFS8529F1Z5,0.42,5788130.58,45512646,552650,358959795,16385323,5967052,0,1,51%,19%,1,Standard,False,72%,Dilapidated,37,434945,Clean,34%,1.72%,1
U60718GJ2021PTC659906,AAA-2341,Active,2004-05-03,28001587,WCTPP3377A,27MYBUO6446E1Z5,3.56,5040285.66,4850529,299397,5877267,1835283,8531711,6,2,109%,73%,10,NPA,True,43%,Dilapidated,4,198655,Qualified,40%,2.41%,0
L90884DL2016PTC625689,AAA-8709,Active,2008-05-10,60501723,CTAHR3759V,27ZDFYK2966H1Z5,3.2,10890310.14,6975103,1064666,224845996,18902100,14521158,0,0,12%,62%,2,Standard,False,84%,Dilapidated,28,10609824,Clean,16%,2.24%,1
U01834GJ2024PTC857072,AAA-4818,Active,2006-03-24,2778820,XXWZK5175T,27XUJVL0870U1Z5,8.28,500187.6,15805097,4419998,62160580,16531027,28704658,1,1,45%,74%,2,Standard,False,46%,Modern,19,199112,Clean,40%,2.13%,1
U92484KA2004PTC154691,AAA-7689,Active,2023-04-16,45862496,RQZBA8800I,27LYRFN4019F1Z5,0.46,8255249.28,4933454,2230767,23009467,708330,36713960,1,3,66%,49%,4,SMA-1,False,58%,Legacy,5,2622490,Qualified,16%,0.86%,2
U75307DL1995PTC063412,AAA-8286,Active,2003-11-29,26655189,GMKQU1831C,27IZRYT5318Y1Z5,7.22,4797934.02,4689173,341787,303975245,14814493,14526128,0,0,55%,31%,1,Standard,False,46%,Modern,13,3823507,Clean,19%,4.11%,1
L84931DL1997PTC628047,AAA-7409,Active,1997-12-12,65262109,YMCSE9625E,27PCRTT2190M1Z5,8.18,11747179.62,43487145,3975397,43051691,9747665,3521376,1,1,29%,36%,3,Standard,False,83%,Modern,18,2296152,Clean,50%,1.18%,1
U33792TN2003PTC434297,AAA-1237,Active,2018-04-19,13193063,PUKWV2895Z,27YMFDB7298D1Z5,9.62,2374751.34,29181732,2754394,168502343,2159781,96931968,0,0,37%,10%,2,Standard,False,64%,Dilapidated,22,54089,Clean,2%,2.77%,1
L07746KA2010PTC215421,AAA-2546,Active,2001-09-09,54805028,BZFHW4405L,27ITPDB1677O1Z5,0.91,9864905.04,4689886,4922877,54614649,1831347,69948133,3,1,90%,60%,6,SMA-1,False,72%,Legacy,20,9783655,Clean,16%,4.74%,2
U97731MH2013PTC765950,AAA-7652,Active,2004-10-01,46452953,EKJMO8822N,27JCDCA2940D1Z5,8.95,8361531.54,4702414,4781274,52217081,1259709,96313095,3,3,61%,72%,6,SMA-2,False,94%,Dilapidated,39,4379218,Clean,29%,3.69%,2
U80701GJ2021PTC603842,AAA-8939,Active,2018-08-14,83391921,QXVPV7162K,27MDMPQ1495R1Z5,3.66,15010545.78,2130774,1585309,114321128,290310,79454616,4,2,67%,17%,4,SMA-1,False,88%,Dilapidated,37,2575875,Clean,10%,2.37%,2
U49461TN2024PTC722456,AAA-3127,Active,1998-07-07,16275138,DRHLR4989L,27IBOBE9595Q1Z5,5.84,2929524.84,17075920,2597190,40371549,4590284,1716892,0,1,46%,47%,3,Standard,False,48%,Legacy,15,2272491,Clean,36%,2.51%,1
L26353DL2010PTC552644,AAA-3093,Active,2017-08-04,25480373,XWZBC0690J,27CUQZL2237J1Z5,8.68,4586467.14,4636018,1482801,31306287,1902121,32599037,1,2,78%,40%,4,SMA-1,False,81%,Dilapidated,38,183229,Qualified,17%,4.84%,2
L71042KA1991PTC001574,AAA-9154,Active,2015-10-29,54901013,NHXCI3945O,27PQLKC3509I1Z5,4.02,9882182.34,42826499,4392417,57631136,19128697,24402490,8,5,95%,11%,9,SMA-2,False,49%,Dilapidated,25,4841542,Adverse,23%,4.81%,0
U67071MH2001PTC567948,AAA-7776,Active,2012-12-29,38180585,HDDPH0336F,27DBNYX6578T1Z5,0.11,6872505.3,1836843,4281008,178455756,2921777,99637332,3,5,104%,55%,9,NPA,False,45%,Dilapidated,8,4316335,Qualified,11%,4.46%,0
L75573MH2017PTC887088,AAA-5991,Active,1998-09-13,12930564,LYWMI3780U,27UCQFJ6171Y1Z5,2.29,2327501.52,22605250,2052918,40716917,9191911,76534843,0,1,31%,19%,2,Standard,False,93%,Modern,27,637181,Clean,50%,3.32%,1
L55997DL1996PTC119921,AAA-4515,Active,2017-04-14,20688013,IPITC1456I,27IOIKF4684V1Z5,6.97,3723842.34,3488330,4982829,202358782,354173,9188980,2,1,75%,19%,5,SMA-2,False,67%,Legacy,36,2107147,Clean,44%,2.26%,2
U26458TN2024PTC011032,AAA-7622,Active,2011-05-25,27194108,VMKDV5344I,27RWAXQ1624L1Z5,3.96,4894939.44,13004293,2409556,201722021,6089894,4854361,0,1,21%,68%,3,Standard,False,70%,Legacy,9,2480074,Clean,20%,5.4%,1
L89437DL2022PTC963409,AAA-4104,Active,2012-06-19,93008376,UPZSX0803W,27VTJJI9380E1Z5,8.85,16741507.68,46607673,1695306,232223587,11694838,62511270,1,0,56%,51%,3,Standard,False,41%,Legacy,32,10739898,Clean,50%,3.91%,1
U59888KA2000PTC497478,AAA-9237,Active,2000-02-04,20392032,UBVJU4218L,27TBBHE7341J1Z5,1.17,3670565.76,32507542,4305728,25410147,17683659,66739114,6,4,86%,34%,10,SMA-2,True,64%,Modern,9,3980070,Qualified,41%,2.03%,0
L40549TN2002PTC258667,AAA-4321,Active,1997-05-15,60582748,CGBLO1754N,27XLEFR7971Z1Z5,1.91,10904894.64,45721279,3178741,195952549,10701150,59705591,0,1,50%,51%,2,Standard,False,45%,Modern,27,5181298,Clean,12%,2.84%,1
U09757TN1995PTC162055,AAA-1082,Active,2020-05-26,76396902,CNAAN8188H,27EADQN1133Q1Z5,11.94,13751442.36,2687560,1392180,34152861,5991602,13888056,1,1,40%,47%,1,Standard,False,77%,Legacy,35,1400557,Clean,20%,2.35%,1
U77072GJ2007PTC448934,AAA-2327,Active,2014-10-14,34078192,YZLHA2424C,27URJBF0078I1Z5,11.07,6134074.56,4757072,3273106,200907366,954738,58048819,3,1,69%,67%,5,SMA-2,False,90%,Dilapidated,8,979108,Qualified,49%,2.37%,2
L02559TN1990PTC148172,AAA-4022,Active,2017-03-04,41802299,HLGHD6854D,27MGDJV9589A1Z5,2.99,7524413.82,10115199,2563245,71740679,7046907,75297858,0,0,50%,10%,2,Standard,False,47%,Modern,40,2556700,Clean,47%,2.64%,1
U27126KA1995PTC364039,AAA-3273,Active,2007-05-12,26378131,UUNLY1151N,27FGSFU2972K1Z5,11.0,4748063.58,3448445,2829407,230190805,1869692,96004301,6,5,89%,65%,9,SMA-2,False,55%,Modern,9,3608777,Qualified,30%,4.67%,0
U50222GJ1992PTC195163,AAA-7719,Active,2000-01-15,49276081,MRAMI5727O,27FVKVV9051W1Z5,3.85,8869694.58,45676663,4350442,259586462,7243534,57134026,1,1,59%,62%,3,Standard,False,54%,Dilapidated,17,5404121,Clean,47%,5.41%,1
L87593KA2010PTC459052,AAA-8810,Active,2023-09-30,35247415,WJFXE6751H,27UIECN2136W1Z5,10.04,6344534.7,1517750,1428838,256433965,233943,53795668,6,3,90%,19%,9,NPA,False,81%,Legacy,37,3645853,Qualified,3%,2.55%,0
U16472MH2007PTC588330,AAA-3714,Active,2000-04-15,39843808,RDGXQ2003N,27TYLWA5565B1Z5,0.84,7171885.44,35077783,2442918,152013034,3998068,26261695,1,0,50%,20%,2,Standard,False,61%,Legacy,21,5895682,Clean,14%,2.87%,1
L07159DL1997PTC413044,AAA-9973,Struck Off,2006-04-11,37949717,CZTMT1430M,27CTWRD8323B1Z5,5.04,6830949.06,2186396,1773527,112737640,580791,36278861,4,3,86%,21%,5,SMA-2,False,83%,Legacy,23,1450007,Clean,0%,3.31%,2
U90572TN1994PTC282157,AAA-8038,Struck Off,2006-09-17,3093172,VQJMK3824K,27HOWNK4873U1Z5,5.97,556770.96,4042014,3344838,1319204,12049788,9328621,0,0,21%,14%,1,Standard,False,50%,Modern,20,106304,Clean,14%,1.9%,1
U87148GJ2006PTC712180,AAA-4734,Active,2022-10-21,49946888,YHMYH4240M,27DWJTQ1952C1Z5,4.25,8990439.84,1378840,2585951,65882974,1047291,33204638,2,1,66%,57%,7,SMA-1,False,92%,Legacy,35,7645115,Qualified,44%,2.23%,2
L38128DL2004PTC119281,AAA-9366,Dormant,1996-08-26,37908139,YENQC7035J,27ZYEFF3582Z1Z5,7.7,6823465.02,2777725,125697,67309398,420030,92261447,1,1,60%,72%,4,SMA-2,False,91%,Legacy,13,7331936,Qualified,32%,3.54%,2
L68709DL2002PTC325608,AAA-2643,Active,2001-08-28,36374846,LVWFZ8521R,27JJAMV9544B1Z5,10.36,6547472.28,42055146,3044457,174702189,10625959,54644668,1,1,10%,50%,2,Standard,False,69%,Legacy,30,72426,Clean,8%,3.15%,1
U45173GJ1991PTC856065,AAA-1333,Active,1996-08-20,31744784,DXOTM4067E,27ILPGN3806X1Z5,3.9,5714061.12,438764,437465,40263390,596388,39253305,3,1,81%,49%,5,SMA-2,False,91%,Legacy,11,889838,Clean,26%,0.56%,2
L37521GJ2021PTC336430,AAA-2938,Active,2006-02-19,6150359,DUMHC1369L,27HKFUS5527W1Z5,5.12,1107064.62,37123526,3613681,6145286,18628800,75680699,1,0,39%,62%,1,Standard,False,69%,Legacy,18,1088054,Clean,44%,2.1%,1
L62054MH1995PTC789835,AAA-1350,Dormant,2014-08-02,78808360,WHNGX8648V,27QNURV0849G1Z5,0.83,14185504.8,11994688,1001618,50716581,18711514,19365456,0,0,20%,31%,2,Standard,False,66%,Dilapidated,19,13076940,Clean,21%,4.82%,1
U63474TN1998PTC367410,AAA-9489,Active,2023-07-05,91790535,DRDUO7499R,27TMNJP3931Z1Z5,7.08,16522296.3,1811997,3196860,302096827,1899059,4346794,1,0,11%,41%,1,Standard,False,71%,Legacy,12,14463313,Clean,49%,3.2%,1
L13883DL2006PTC761235,AAA-6587,Active,2024-06-12,15745924,GHNEC8409J,27GCEHA0443W1Z5,8.05,2834266.32,47514712,4214797,91455961,7453868,2004101,0,0,33%,17%,1,Standard,False,46%,Dilapidated,34,2622650,Clean,30%,3.79%,1
L14064KA2010PTC033709,AAA-4084,Active,1997-06-20,50334428,ZUQQB1397G,27JHHUF2681E1Z5,6.46,9060197.04,45901167,4893166,324865269,2758460,7877159,0,0,54%,36%,3,Standard,False,56%,Dilapidated,21,4994192,Clean,45%,5.44%,1
U01867MH2008PTC242731,AAA-1086,Active,2024-02-17,77928794,GBKSI5520K,27XPTJZ7008O1Z5,1.64,14027182.92,1447070,1501461,59212284,1909903,71782149,4,2,71%,66%,5,SMA-1,False,70%,Modern,20,501978,Qualified,20%,2.19%,2
L39232TN2009PTC854415,AAA-6953,Active,2007-12-18,45225542,IWBSH2391C,27UKYWZ3237I1Z5,5.55,8140597.56,821676,1050939,235475428,307461,33235933,3,1,80%,27%,6,SMA-1,False,71%,Legacy,34,4844076,Qualified,20%,1.57%,2
U11260GJ1991PTC302060,AAA-9713,Active,2001-09-15,52790986,VQBXQ3737T,27SQHKA3604N1Z5,11.72,9502377.48,2704742,2091085,309607228,147596,10185797,4,2,63%,19%,7,SMA-1,False,65%,Legacy,27,3214609,Qualified,23%,4.65%,2
U92366KA2004PTC723907,AAA-2366,Active,2012-06-29,2509782,OKWKI7282E,27WJDWP9874D1Z5,0.55,451760.76,29525946,2669353,374118369,3694858,2910332,1,1,52%,38%,1,Standard,False,63%,Legacy,16,479341,Clean,35%,1.13%,1
L95554TN2000PTC196397,AAA-3245,Struck Off,2006-09-20,25509188,YYMHS8710L,27DFBIM0536H1Z5,11.04,4591653.84,227208,3432917,435162270,1379359,84796048,6,2,90%,23%,8,NPA,True,51%,Dilapidated,33,4046129,Adverse,43%,3.83%,0
L55394DL1999PTC155049,AAA-5868,Active,2024-08-23,62818023,XXKEF3032B,27UJLQU7705Y1Z5,5.98,11307244.14,45705760,2071764,31418943,10710385,15102977,0,1,17%,71%,3,Standard,False,90%,Modern,20,2326947,Clean,29%,2.96%,1
U87985KA2024PTC102149,AAA-1702,Active,2016-05-22,39846400,YJHTI1431W,27WFSTH6158R1Z5,3.37,7172352.0,5045116,1261074,20934703,7362164,26689573,8,2,93%,29%,10,SMA-2,False,50%,Legacy,27,7306559,Adverse,37%,1.54%,0
L56138KA2003PTC576377,AAA-6187,Active,2004-04-25,34608901,TDCNU5849U,27RZIEM4579Z1Z5,9.35,6229602.18,2512847,1070381,114331448,1765831,77315409,2,1,80%,42%,7,SMA-2,False,76%,Dilapidated,10,600703,Qualified,45%,4.58%,2
L79956MH2017PTC232810,AAA-9125,Active,2014-02-13,10849464,YJMGH9474V,27KNACY9937S1Z5,9.64,1952903.52,31147725,4417947,92577950,10816109,66650480,0,0,31%,35%,2,Standard,False,48%,Legacy,15,1568809,Clean,29%,3.46%,1
L24053MH1990PTC735286,AAA-3377,Active,2005-01-09,31000782,PISMV7154K,27WSOVB4531W1Z5,9.85,5580140.76,14973038,3665723,182312350,14858979,67241665,1,1,50%,54%,2,Standard,False,91%,Legacy,5,3669202,Clean,48%,3.35%,1
L03450DL1996PTC986016,AAA-1377,Active,2001-06-18,5439046,YEBLO4543T,27YXQOJ2255E1Z5,2.06,979028.28,1351536,3333556,179225051,892564,87354856,7,2,109%,44%,9,SMA-2,True,79%,Legacy,5,32246,Adverse,29%,1.42%,0
U21228TN2003PTC304721,AAA-3748,Active,2018-11-03,66674524,CAJBH4857C,27LMICG9586P1Z5,4.17,12001414.32,2947979,1573222,326194863,512515,60864484,3,2,78%,60%,7,SMA-2,False,91%,Dilapidated,10,6666472,Clean,38%,1.32%,2
L24482DL2023PTC832057,AAA-6132,Active,1998-06-02,37250407,YQUBN1460A,27UHDJG5006M1Z5,9.27,6705073.26,4931185,2282474,246098177,1432480,95333599,7,5,100%,48%,10,SMA-2,False,71%,Modern,11,5148189,Qualified,47%,3.32%,0
U70731MH1999PTC995584,AAA-7416,Active,2010-08-28,87239930,HVFIP8125H,27PTQBP1746X1Z5,8.64,15703187.4,452094,4712368,20056120,851206,77242349,6,5,99%,27%,10,SMA-2,False,60%,Legacy,32,1182674,Qualified,6%,0.63%,0
U24427MH2009PTC946326,AAA-5428,Active,2019-11-21,20864842,CHDTR7358R,27SUJZW8838I1Z5,3.24,3755671.56,16104082,265438,40405728,7238228,38689054,0,0,51%,39%,1,Standard,False,43%,Dilapidated,21,3708682,Clean,34%,2.05%,1
U68478MH1990PTC792608,AAA-9133,Active,2015-08-10,23302765,ADSAZ4058V,27IHBOQ8911R1Z5,5.75,4194497.7,1663330,53812,88748763,8344411,10729269,1,1,55%,21%,2,Standard,False,93%,Legacy,11,2174883,Clean,12%,2.33%,1
L18826KA1994PTC573518,AAA-1245,Active,2009-12-09,4988741,DMVBJ9305P,27ZQXKH6306J1Z5,5.19,897973.38,3082153,1112533,1110882,835948,15127330,1,2,77%,39%,4,SMA-1,False,50%,Legacy,40,385463,Qualified,39%,4.18%,2
U13137TN1994PTC347038,AAA-6525,Active,1999-12-03,50983137,HXRBB8496V,27AIGSK4125V1Z5,5.89,9176964.66,2100214,782841,127325007,4686619,76860011,1,0,50%,11%,2,Standard,False,59%,Legacy,37,8646958,Clean,31%,4.84%,1
U95023KA2011PTC608670,AAA-7160,Active,1998-08-19,76332780,NEHZD8970I,27TXRXB8649H1Z5,3.44,13739900.4,13080804,4295531,149785141,9657608,15075860,1,0,10%,73%,1,Standard,False,70%,Legacy,38,7979207,Clean,18%,1.35%,1
L44589DL1994PTC039789,AAA-4369,Active,2017-05-01,59481698,OFGWY0386V,27HNVYX2003Y1Z5,11.13,10706705.64,46392932,563367,100722133,18966418,2411774,1,1,33%,53%,2,Standard,False,63%,Legacy,17,6164691,Clean,23%,3.31%,1
L48471MH2022PTC479594,AAA-7349,Active,1996-07-20,59348547,JTRVP8797J,27CFXTR2280I1Z5,10.46,10682738.46,21904112,758227,135751265,3816596,92556944,0,0,17%,41%,1,Standard,False,72%,Modern,26,961276,Clean,44%,3.13%,1
U25439TN1992PTC824146,AAA-6684,Active,2025-06-26,29421472,OCEVS7911Y,27PTTBJ5712A1Z5,8.95,5295864.96,1226171,4857127,97697598,1119091,82446317,3,3,101%,21%,8,NPA,False,94%,Modern,22,3008961,Adverse,4%,2.32%,0
L82172KA2009PTC851450,AAA-7911,Active,2018-07-07,7869853,DZXZR1155I,27HPELO7369I1Z5,5.85,1416573.54,38731317,2801436,87302351,1192877,43012980,1,0,18%,12%,3,Standard,False,56%,Legacy,24,49474,Clean,1%,3.29%,1
L50412TN2002PTC816615,AAA-2234,Active,2010-01-28,29226589,AZLIV7343U,27JAEDB5518W1Z5,6.75,5260786.02,1755487,4004166,11564467,14822524,755247,0,1,32%,22%,2,Standard,False,93%,Dilapidated,40,4116207,Clean,43%,2.99%,1
U72089DL2009PTC537231,AAA-9236,Active,2009-01-16,49882122,IGSSX3844J,27IVDZR9426I1Z5,6.97,8978781.96,33240980,4471129,53612149,16215128,18060566,0,0,48%,28%,2,Standard,False,73%,Dilapidated,30,4028964,Clean,8%,0.62%,1
L51856GJ2017PTC704688,AAA-3192,Active,2021-12-13,91379861,IUXQF5594S,27DACHC1728F1Z5,2.67,16448374.98,388406,1955310,299535599,82630,55264569,4,2,67%,23%,6,SMA-2,False,44%,Legacy,38,3274928,Qualified,24%,4.87%,2
U32177GJ1991PTC109281,AAA-6930,Active,2014-11-26,84298632,FEUWA6247K,27DJPAO3906N1Z5,0.75,15173753.76,35279661,4084503,58325003,13533662,30297446,8,3,86%,55%,9,SMA-2,False,76%,Dilapidated,33,1195936,Qualified,4%,2.99%,0
U18878KA2023PTC720365,AAA-6393,Active,2024-05-04,58766888,HFGPN3634B,27LFGBB9086P1Z5,9.56,10578039.84,4944638,2044428,56795759,1390884,10154297,4,2,87%,68%,6,SMA-1,False,67%,Modern,23,8417319,Clean,38%,1.14%,2
U18474GJ2008PTC299434,AAA-5414,Active,2017-03-24,42888175,LITOI5723Y,27DSIUC7589M1Z5,3.21,7719871.5,1189008,562273,136200181,474299,24565815,3,2,79%,12%,7,SMA-1,False,42%,Dilapidated,7,8533754,Qualified,2%,1.96%,2
U81749TN2002PTC269539,AAA-1722,Active,1999-11-16,37471778,COQPL7102V,27QWTPA3583G1Z5,10.91,6744920.04,28672283,697830,6642560,14136889,7010073,3,5,89%,66%,9,SMA-2,True,54%,Legacy,20,5051994,Adverse,22%,1.32%,0
U93684GJ1993PTC087376,AAA-4971,Active,2021-03-23,25943809,AEBRO6125F,27PDPVG9480L1Z5,2.06,4669885.62,41908912,3315526,177375020,7266967,54815665,1,0,50%,24%,3,Standard,False,51%,Modern,25,2062239,Clean,30%,1.71%,1
L90149TN2001PTC360977,AAA-5984,Active,1998-02-14,18280503,DEILA5285O,27SRYKH7514R1Z5,11.18,3290490.54,3056270,4717968,61094151,1292066,23311754,7,4,106%,44%,9,SMA-2,True,71%,Legacy,28,1997108,Adverse,42%,0.5%,0
U29129DL2002PTC901380,AAA-4517,Active,2012-10-31,5694164,DBFEZ3255W,27RATRO2775R1Z5,2.39,1024949.52,4038204,2932456,278443389,1517087,94924684,1,2,80%,54%,4,SMA-1,False,58%,Legacy,13,1057818,Qualified,12%,2.78%,2
L61195KA1990PTC387318,AAA-2650,Active,2019-12-25,3559378,NCIIV6430R,27DLSEO2513E1Z5,4.23,640688.04,1277153,4200763,43810039,125427,80711584,4,3,81%,62%,7,SMA-2,False,91%,Dilapidated,15,638304,Clean,3%,2.38%,2
U73619DL2011PTC554923,AAA-5244,Active,2016-02-09,39070526,PFPMA4970W,27LOHUG0204A1Z5,5.59,7032694.68,2281132,182790,20513612,248585,90118023,2,1,74%,21%,6,SMA-1,False,54%,Legacy,20,3661343,Clean,22%,1.87%,2
U02329GJ2022PTC374561,AAA-8082,Active,2003-12-21,43673947,VFVYX9484H,27MZDLJ1918V1Z5,4.15,7861310.46,5556065,3436946,19587454,10039733,39701485,0,0,42%,10%,1,Standard,False,50%,Legacy,31,3055881,Clean,20%,3.37%,1
U48638KA2011PTC961528,AAA-2786,Active,2023-01-30,51445245,CBESI3604I,27AKBJX0449C1Z5,2.33,9260144.1,38591128,2092899,273914979,3080264,86069496,0,1,53%,55%,2,Standard,False,54%,Modern,24,3187469,Clean,40%,2.59%,1
U45910TN2015PTC096133,AAA-4801,Active,2016-10-02,29007394,PLQLK6045R,27LATJN4868I1Z5,5.94,5221330.92,1822685,1619066,162782370,863014,30545114,4,1,68%,18%,6,SMA-2,False,82%,Legacy,6,1989254,Clean,3%,3.38%,2
U49010GJ2009PTC512096,AAA-8731,Active,2022-02-08,10592088,MSMBX4316A,27GBGWJ6193C1Z5,8.11,1906575.84,988851,1205901,150788470,1221366,49813132,2,3,77%,47%,6,SMA-2,False,82%,Legacy,25,1753882,Qualified,32%,2.97%,2
